"Products list"
"ref","description","Base imp.","IVA","Total",
"CARBRAM0015","Aguja entera-  carnes Braman-  pieza 500 gr","6.41","10.00","7.05",
"CARBRAM0016","Morcillo en trozo- 500 gr aprox- carnes Braman","6.77","10.00","7.45",
"CARBRAM0017","Filetes de 1ªa (tapilla- falso solomillo o entrelomo)- 500 gr- carnes Braman","7.73","10.00","8.50",
"CARBRAM0018","Solomillo en filetes -Oferta -Carnes Braman - paq 500 gr","21.96","10.00","24.16",
"CARBRAM0019","Lomo entero para asado -Carnes Braman - 1,5 kg aprox -precio kilo","21.73","10.00","23.90",
"CARBRAM0020","Redondo entero para asar -Carnes Braman - 1,5 kg aprox, precio kilo","15.50","10.00","17.05",
"CARGUM0001","Cordero Lechal- Medio cordero- Gumendi","55.45","10.00","61.00",
"CARHAZ0001","Medio cordero lechal - Las Hazas - 3 kg aprox- precio kg","17.82","10.00","19.60",
"CARHAZ0002","Medio cordero lechazo - Las Hazas - 4,35 kg aprox- precio kg","12.36","10.00","13.60",
"CARHAZ0003","Asadura de cordero - Las Hazas - 0,700 aprox- precio kg","4.55","10.00","5.00",
"CARHAZ0004","Chuletillas de cordero - Las Hazas - precio 500 gr","11.45","10.00","12.60",
"CARHAZ0005","Cordero lechal - Las Hazas -  5,5 kg aprox- precio kg","17.14","10.00","18.85",
"CARHAZ0006","Cordero lechazo - Las Hazas - 8,5 kg aprox- precio kg","12.27","10.00","13.50",
"CARHAZ0007","Paletilla de cordero lechazo - Las Hazas - peso 850 gr aprox- precio kg","13.77","10.00","15.15",
"CARHAZ0008","Pierna de cordero lechazo - Las Hazas - 1,35 kg aprox- precio kg","12.36","10.00","13.60",
"CARSERREJON","Cordero Lechal","15.00","0.00","15.00",
"CARSERREJON2","Cordero Recental","13.00","0.00","13.00",
"CARSERREJON3","Asaduras","14.00","0.00","14.00",
"CARTOMI0001","Cordero lechal por cuartos en golpes para horno- 1 kg y medio aprox- Los Tomillares - Precio Kilo","22.01","10.00","24.21",
"CARTOMI0002","Chuletas de lomo de cerdo -paq. 500 gr aprox- Los Tomillares - precio 500 gr","10.25","10.00","11.28",
"CARTOMI0003","Chuletas de aguja de cerdo - 500 gr aprox- Los Tomillares -precio 500 gr","9.16","10.00","10.07",
"CARTOMI0004","Lomo fresco de cerdo -500 gr aprox - Los Tomillares - precio 500 gr","13.55","10.00","14.91",
"CARTOMI0005","Filetes (de jamon) de cerdo -500 gr aprox- Los Tomillares - precio 500 gr","8.42","10.00","9.26",
"CARTOMI0006","Costillas de cerdo- paq. 500 gr aprox - Los Tomillares - precio 500 gr","6.96","10.00","7.66",
"CARTOMI0007","Magro(de paletilla) de cerdo -paq. 500 gr aprox- Los Tomillares - precio 500 gr","7.67","10.00","8.44",
"CARTOMI0008","Panceta de cerdo -paq. 500 gr aprox- Los Tomillares - precio 500 gr","4.77","10.00","5.24",
"CARTOMI0009","Chorizo fresco de cerdo -paq. 350 gr aprox- Los Tomillares - precio 500 gr","8.06","10.00","8.86",
"CARTOMI0010","Cordero lechal por cuartos en chuletas- 1 kg y medio aprox- Los Tomillares - Precio Kilo","22.01","10.00","24.21",
"CARTOMI0012","Cordero lechal entero sin partir - 6 kg aprox- Los Tomillares -precio kilo","22.01","10.00","24.21",
"CARTOMI0013","Cordero lechal por medios sin partir- 3 kg aprox -Los Tomillares- precio kilo","22.01","10.00","24.21",
"CARTOMI0014","Cordero lechal por medios- Pierna con golpes- 3 kg aprox -Los Tomillares- precio kilo","22.01","10.00","24.21",
"CARTOMI0015","Cordero lechal por medios- Pierna en chuletas- 3 kg aprox -Los Tomillares- precio kilo","22.01","10.00","24.21",
"CARTOMI0016","Rabo de Cerdo Iberico de Bellota -Los Tomillares - Envase al vacio 300 gr aprox","2.45","10.00","2.69",
"CARTOMI0017","Oreja de Cerdo Iberico de Bellota -Los Tomillares -Envase al vacio 300 gr aprox","2.45","10.00","2.69",
"CARTOMI0018","Chorizo curado de Cerdo Iberico de Bellota -Los Tomillares - Envase 480 gr aprox- Precio 500 gr","12.18","10.00","13.40",
"CARTOMI0019","Costillas adobadas - paq. 700 gr aprox- Los Tomillares - precio 500 gr","7.33","10.00","8.06",
"CARTOMI0020","Panceta adobada - paq. 500 gr aprox - Los Tomillares - precio 500 gr","5.49","10.00","6.04",
"CARTOMI0021","Salchichon - Los Tomillares - Envase 480 gr aprox- Precio 500 gr","12.18","10.00","13.40",
"CATERINGMENU1","Menu 1_colaboradores","1.44","10.00","1.58",
